Ratings,AuthorLocation,Title,Author,ReviewID,Content,Date,class,predicted_class
5.0,"Kirkland, WA",“Enjoyed our stay”,Kirkland_Traveller,UR128006539,my husband and i stay here for a weekend in march when we came to phoenix for spring train  the room wa clean  the area wa quiet and the bed wa super comfort  we didn't use the pool but it look nice  we were impress with the breakfast which includ a choic of cold item (juic  milk  cereal  yogurt  fruit and rolls) and hot item (egg  make your own waffl  toast and a meat item)  the woman who run the breakfast room did a great job keep everyth fill up and coffe alway readi  be sure to arriv earli   we get there about 7:30 both morn we stay there and got nearli the last tabl ,"April 16, 2012",positive,positive
3.0,"Rio Rancho, New Mexico",“it was OK”,Freeindeed4,UR126609505,"i book thi hotel for my famili of four (husband  me  13 yo  6 yo) for a 5 day spring break get away  base on the review (clean and great breakfast) is whi i went with it  i'm not super picki in other area  that' mainli what i look for  but big mistak for ignor other ""cons"" mention   room: first the room wa clean but more like a ""remodel"" type of clean look like wall were paint over and you could still see the dirt under the paint  sink look like they didn't use a good cleaner and just wasn't veri clean  it wa more of a surfac clean  a coupl of peopl mention it be small  well it wa tini and hard to even chang with privaci  there wa no room around the sink  the onli door wa to the toilet and shower and then to go out  it is way to cram for a famili  the bed were comfort and they had good select of towel  i like that they gave you an option to pick your servic everyday  breakfast: i like it and i'd say that wa veri good: homemad waffl  sausag  gravi  biscuit  a lot of toast  egg  hash brown  cereal  oatmeal  coffe  juic it wa excel but the same everyday and it wa a littl small and crowd  staff wa veri nice and help with breakfast  front desk peopl were not veri help but noth worth complain about  not good: the wall were so thin i could liter hear the neighbor ""peeing"" in hi restroom in the veri earli of the morn  we could here when someon took a shower (water turn on and running) we could also hear all the peopl outsid (talk  walk  driving) plu the window did not lock  the properti wa beauti and the locat and pool wa pretti great  easi to get around  i gave it a 3 becaus it wasn't horribl but it wa not good enough to come back too ","March 24, 2012",negative,positive
3.0,"Antioch, Illinois","“Rooms adequate, near a busy highway”",Sharon B,UR125519641,it seem like the room are smaller than the sister properti in tucson  the fit room is not at all good  the equip is not is good condit and the machin are not clean  the pool is nice  as is the jacuzzi  staff seem help and the major of the facitili seem to be clean  breakfast wa fine and good select ,"March 2, 2012",negative,positive
4.0,"Mirabel, Qc",“OK suite... let me explain:”,Ben0844,UR125268001,"the good things: nice staff  helpful  clean and quiet place  nice pool and jacuzzi  good locat  veri good valu overal  the ""could be better"" things: it is a suit with kitchenet that can accomod up to 6 (! ) person sleep   realli i would not do more than 4  the 2 queen bed are in the same bedroom so the other coupl may have to sleep on the sofab if you do not wish to share the bedroom (better to know befor you go)  there is onli a small typic hotel room tabl and 3 chair  so for eat the meal you have cook all togeth can caus a certain logist problem  the kitchenet is not fulli equip  the kitchen tool are veri basic  veri small stove  no oven  for pot and pan  ask at the desk becaus they do not let them in the suit becaus peopl steal them  you can do ok with thi kitchenet but you better  again  know befor you get there with big cook idea and be disapoint  we stay there 2 night (4 persons) and we appreci our stay ","February 27, 2012",positive,positive
5.0,"Quincy, Massachusetts","“good value, good place to stay”",Peggy L,UR124679956,veri good hotel   clean  fanci  best of all great value! we stay 3 night for 88/night  king size bed  flat screen tv  free coffee/tea/wat  free wifi  free social hour w/ drinks/snack  free hot breakfast  we had a jacuzzi tub  i love the option of choos what kind of servic you want (ie: just replac towel or take out trash  full clean  or no servic  etc)  it save them time and resourc  all the staff member were veri nice and friendli  close to variou highway for our day trip  lot of place to eat nearbi ,"February 16, 2012",positive,positive
4.0,"Winnipeg, Canada",“great value”,marilyn238,UR124327210,we enjoy our stay in jan 2012 at thi hotel  we had the junior suit which is a sit room and separ bedroom  thi hotel is nice and clean  they have a free beer and wine happi hour everi day at 5:00 and a free barbequ the first wednesday of the month  the staff at the front desk are veri friendli and helpful!  thi hotel is situat in northern phoenix close to #51 freeway! excel locat for get around and in walk distanc to some realli good restaur  we would defin stay here again if we are visit phoenix ,"February 9, 2012",positive,positive
3.0,"Seattle, Washington",“Smoking Rooms! Yuk!”,OneBadCowboy,UR123884022,"i tri not to ever let just ""one thing"" be the caus of a bad experi in a hotel  but  when i get stuck in a smoke room  well  that' hard on me! i had ask for non smoke and they were unfortun full  they did their best with a room humidifi  but the smell in that room wa dread  i should have left  but my rate wa non refund and it had been a long day alreadi    the staff were reason peopl and they were polit  the room wa on the small size   veri basic  but accept for an overnight accommod  the morn breakfast wa well abov averag with a good varieti of select  i can't say i would ever stay here again ","January 30, 2012",negative,positive
5.0,"Southgate, Michigan",“Very nice value priced establishment in good location!”,fourseastravelco1954,UR123530151,my husband and i stay here for three day to vacat and visit famili in the area  i select thi hotel becaus we prefer the layout of a suit rather than a typic hotel room  my first impress of the properti wa veri posit  neat  well tend green area  nice pool palm tree  tile walkway and an overal calm atmospher  we didnt have a day that wa warm enough to use the pool  but it look invit and clean  now  my impress of the suit wa a bit disappoint  due to how tini it wa  i think they took regular size hotel room and divid them into a sit room with a bedroom with a door  keep the bathroom to divid the two area  it wa clean  but we could bare walk around the queen size bed  a plu wa the two flat screen tv  the breakfast wa better than most  with hot entre  but they were the same choic evey day  locat wa good  we had a short ride to the barrett jackson auction and casino  in conclus for the price  use bw reward  and aaa  we got a veri good price!,"January 24, 2012",positive,positive
5.0,New Braunfels Texas,“Bill Clinton Suite was Exceptional!!!!!”,alittleshady,UR122277567,my honey had hip surgeri in phoenix  and we want a room with a bedroom and sit area  the bill clinton suit wa huge with two bath  a wonder jacuzzi  and a veri comfort bed  thi motel wa in a great locat with easi access to i 17 and sr 51  the hotel front desk staff and housekeep staff were care and accommod  the ladi over the breakfast bar wa great  and the hot breakfast wa the best i have had at ani motel  we are best western reward member  and thi best western plu exce mani premier ,"December 30, 2011",positive,positive
4.0,"McKinney, Texas",“Good Night's Sleep for the Money”,AdventureSis,UR121862009,my husband and i stay at thi hotel in earli decemb  the bed are veri comfort  it wa veri clean  the staff wa friendli and help  i wa happi to see they offer a choic of servic for our room to conserv water  the room wa a standard size room  but had all the emen we need  flat screen tv  refriger  microwav  coffe maker and blow dryer  the shower offer plenti of hot water and the free breakfast bar wa delici  scrambl egg  sausag  waffl  fresh fruit and starbuck' coffe  the onli downsid in my mind wa have to use the stair to get to the second floor where our room wa  no elev made it difficult to haul our bag up the stair  i would recommend thi hotel if you are just look for a good night sleep  hot shower and a good breakfast but not if you like to loung around in your hotel room  it wa conveni locat near the 51 interst which made it great for access the entir valley  we enjoy our stay ,"December 18, 2011",positive,positive
5.0,"phoenix,az",“Great Best Western”,siyodan,UR120957967,all of the hotel staff were outstanding! veri help and friendli  hotel is locat near everyth  you get what you pay for at thi hotel  it' older but clean and what you would expect for the money  special thank to dan the maint guy  he is an asset to thi hotel  and mr  quick the gener manag who greet all the guest person  we will be back!,"November 23, 2011",positive,positive
4.0,"Fort Lauderdale, Florida, United States",“Good clean rooms”,HotelGuru1982,UR120850329,i recent stay at the best western inn and suuit in phoenix and though it wa an accommod stay  i wa there 5 night  the staff were friendli  includ the young ladi work happi hour (free drinks) from monday to friday  the breakfast wa ok but the most import thing wa the shuttl servic that drop us off when we need it  my room wa clean  it had a spa tub (which i never used)  it wa good to see the gener manag walk around talk to peopl too  the place is kept nice and trim with landscap  my onli gripe is that there are onli a few thing within walk distanc  i advis ask about the shuttl ,"November 21, 2011",positive,positive
5.0,Huntington Beach,“Great Value”,arthurkHB,UR119722236,went to see the steeeler beat the cardin and had a great time  room clean and nice breakfast had everyth you could want  not just a roll and coffe  they even had a free happi 1 5 hour with beer and wine ,"October 25, 2011",positive,positive
2.0,"Portland, Oregon",“Smokers paradise”,LauraSayerG,UR119499323,nice  quiet room  comfort bed  good locat  wireless internet so so  free park  if you don't smoke and don't want to breath second hand smoke  don't stay here ,"October 19, 2011",negative,positive
5.0,Bethlehem,“Great place”,ZeldaBethlehem,UR119498179,we love stay here  room are veri clean  new and fresh furnish and carpet  veri nice bed with nice linens; thick towel   nice breakfast incl waffl which we love   and all of the staff were amazingli friendli and help  love our desk clerk (weeknight   sorri did not catch her name!)  and the veri nice breakfast room ladi  onli complaint: could use more consist on soap and occasion towel deliveri  pool wa veri nice  hottub a bit too hot  we will definit stay here again  (lastly: no bedbug  which is a problem around phoenix  appar   we check befor settl in but it is veri clean!),"October 19, 2011",positive,positive
4.0,"Prescott, Arizona",“great experience”,julie h,UR118578427,alway enjoy stay at the best western innsuit  kim at the front desk veri friendli and rey in the breakfast room veri attent we'll be back allen & juli prescott arizona,"September 25, 2011",positive,positive
4.0,"Grand Junctio, CO",“wonderful place I'll stay again”,slickrockwalker,UR116216407,thi is my 3rd stay in the best western inn and suit in phoenix  i stay here for the conveni to the area of my visit  the front desk staff ha alway been friendli  help and just plain great  thi time the suit i reserv wa not avail so they had upgrad me  unfortun i wasn't comfort in the upgrad  no need for a romant jacuzzi tub  next anoth great room but i need a sofa bed for my visit son  next room wa perfect  the desk clerk wa worri becaus it face a busi street but i didn't notic the traffic nois at all  they have a great breakfast but i'd love bacon on the menu  perfect happi hour  the pool & hot tub is kept clean and with fresh towel each morn  room wa kept veri clean and well stock by housekeep  now for the veri best part  hi name is leo  i accident threw my key to my suv  hous  workplac and hotel into the dumpster  leo jump into the dumpster and rescu my key from the mani pizza and other icki thing that he had to sort through  for thi i will alway be grateful! they truli go abov and beyond in mani other way too  thi is a veri comfort and clean place to stay  i will stay here again and again,"August 3, 2011",positive,positive
5.0,colorado,“would definitley come back!”,erincolorado,UR116174324,frustrat turn to satisfaction! upon arriv at hotel i wa told that my famili suit had been given away becaus of overbook  they had noth els avail  but they offer us a second room for no charg  i ask if it wa an adjoin room and they said there were none in the hotel  i explain i wa travel with kid and wasn't comfort leav my kid in a room even though it wa next door  becaus of the hour there wa nothng that could be done  it wa veri frustrat when i had a confirm number and everyth  i end up bunk with the girl and my husband bunk with our son  in the light of day i realiz that it realli wasn't such a bad deal  the room were clean  with 2 cloud 9  pillowtop queen  microwav fridg  free wi   fi  etc  the free breakfast wa right next door and veri good select  the front desk carri laundri soap and all kind of sundri for a veri nomin fee  the pool and laundri were liter right outsid our door  veri conveni  the best part wa  that morn the manag call and said that we were get an addit discount to make up for the mistak  so we got 4 bed  two bathroom for 60 buck a night  my whole bill wa onli 400 for a whole week  with tax!!!! that wa a two hundr dollar discount and we got twice the space  i would definitley recommend thi hotel  they keep it clean and there were staff everywher do maientnenc  pool area is nice with music and palm tree  veri clean  great for famili  check it out!,"August 2, 2011",positive,positive
4.0,"San Francisco, California",“Clean Room & Great Breakfast”,sfgiant25,UR107744389,went to phoenix for a busi trip in the middl of the summer  the temperatur wa tripl digit and scorch hot! check in wa fast and easi and it wa relax to walk into a cool  air condit room  the cloud 9 bed bed that they have is heavenly! there is even an option of buy the same type of bed and have it ship to you! the in room fridg is a littl small  but overal  a veri nice  well kept room  the breakfast is top notch! the breakfast room is roomi with two larg hdtv abov the breakfast bar area  a great select of food as well: egg  sausag  biscuit & gravi  etc  you could definit have a hearti breakfast befor you start your day  i would recommend thi hotel to anyon go to phoenix!,"May 10, 2011",positive,positive
4.0,"Minneapolis, Minnesota",“Slice of Heaven...”,scardicat,UR106131242,"when you come to beauti phoenix arizona and are look for a nice place to stay that will provid you with a great night sleep  great servic and love locat all without break the bank  then thi is the place for you! after sleep one night at anoth properti in phoenix that wa a horribl experi i vow that i would find anoth hotel that would be to my satisfaction; trust me when i tell you that my expect of a best western stay were far surpass at the northern avenu properti  it wa easi to find  the front desk personnel were veri pleasant and actual glad to have you as a guest! the small suit they put me in wa on the second floor away from northern avenu traffic and had a refresh view of the squaw peak mountain with an elev of 2608 feet  which by the way can be climb if you are in for a good hike  if you cannot climb the stair then stay on the first floor as there is not an elev  but even tire from lack of sleep the night befor i manag a small suitcas  laptop bag and my ""jumbo sized"" travel purs just fine  as i approach the door of the suit and insert the key and fippedvon the light i knew i had discov an econom jewel! the outer sit area had a nice desk with a halogen lamp for plug in laptop  you heard me a halogen lightbulb! but those of you who are modern techi with wi fi you just need to sit down on the sofa/sleep and log in  unlik the other properti who advertis free high speed internet  but could not deliv a connect last more than a few minut  the best western deliv true high speed internet and it wa consist the 3 day i stayed! there wa also a nice flat screen tv mount on the wall abov the desk and anoth one in the bedroom on the wall across from the bed  who would have imagin that somebodi actual thought about where a guest would watch tv  there wa a small refriger and a microwav  the bathroom had a clean shower with good water pressur and hot water throughout my shower and ye  be a girl i like my shower in the morn so it wa not a quick one! they give you a nice suppli of linen and will chang them daili if you wish  the vaniti top wa a love granit and the sink did not back up with water like a lot of them do when you brush your teeth! the sink had nice light for make up applic or shave for the gentlemen  the bedroom had the most comfort mattress and veri feather soft pillow as well as a set of firmer one  so they thought about keep everi guest comfort  there wa a veri thought lap tray if you need to sit in bed and work on ani write or comput  there wa also a whirlpool tub and though i did not take a soak  let me say that thi would have been the first whirlpool that i actual consid get into! i wa impress with how clean the housekeep staff kept everyth  they also thought of all the littl thing you might need like a bottl of water at no charg  mint in the bedroom and on the refriger to welcom you and get thi  their   board cover wa clean! the place i stay prior to come to the best western had an iron board cover that i had to put a towel on befor i could press my skirt for a busi meet the next day  as far as the properti goe   i got to park right outsid my room which wa conveni  the lobbi ha a busi center with comput and printer and i know they also have some other equip such as a copier and fax machin  there is a nice pool area with loung chair  and in addit to the pool there is a spa pool  by the pool there is an area of vend machin  coin oper washer and dryer and an ice machin  as far as breakfast well  ye it wa call continent  but i found it to be except  not becaus it wa includ  but becaus it wa good  they had 2 kind of juic  starbuck coffe  cereal  toast  yogart  3 hot dish includ scrambl egg  bacon or sausag and hash brown  hold onto your hat becaus after all that for a ""continental"" breakfast they also had 2 waffl maker so you could cook your own fresh  hot waffl and they even thought about those of us watch our diet becaus they offer regular and sugar free syrup! i would highli recommend thi properti and will definit stay here again!","April 29, 2011",positive,negative
4.0,"Tucson, Arizona, USA","“Great Value, Great Accommodations”",PJGAZ,UR101653928,"we stay for one night (a saturday) to check out the hotel  we were recommend it for our out of town wed guest  and want to make sure it wa ok  we stay on the first floor  and were abl to park outsid of our bedroom window  thi properti is set up ""motel style""  so your room open to the outsid instead of an interior hallway  we found thi to be conveni  and we felt veri safe at the hotel  it is in a quiet area  although close to the sr51 freeway  and is surround by small offic build  i wa pleas to find that the room were updat  clean  and modern  we had two flat screen tv in our room  granit countertop  etc  i wa pleasantli surpris  becaus i felt that thi wa more like a 3 1/2 star hotel vs  the 2 1/2 star it is rate  my onli complaint about the room is that the shower wa a littl wonki  and we could hear our upstair neighbor clear as day through the walls/ceil  i think the hotel is older and not as soundproof as newer properti  we took advantag of the free happi hour  and had two soda and a glass of wine  it wa a pleasant way to unwind at the end of the day  the lobbi is nice decor  and ha a fireplac  the breakfast/happi hour area is small and basic  we realli enjoy the breakfast in the morn   there were plenti of option  and the hot food were great  overal  i think thi is a fantast valu  and we had a pleasant stay  friend who end up stay here for our wed rave about the hotel  and were extrem pleas with their experi as well ","March 26, 2011",positive,positive
4.0,"albuquerque, NM",“Clean and friendly”,jezzebelmona,UR100748834,we stay for 2 day  the room is comfi and clean with a larg tv  mani channel and a comfi bed  the one issu we had wa breakfast  ye it' free howev it wa a mob scene  and the advertis for belgian waffl didn't mention you had to cook them yourself! the coffe wa veri good though and yogurt and fruit  we would stay again just won't do breakfast,"March 19, 2011",positive,positive
4.0,"Leduc, Alberta",“A great place to stay”,JohnLeduc_Alberta,UR98833126,we stay for three enjoy week  there are mani thing that we found veri satisfactori about our stay! the staff wa except accommod  the first thing we notic wa the pleasant and effici front desk staff  includ mela and the remaind of the recept area staff  who could forget the smile leo who host the afternoon wine and snack gather  and who did so mani other handyman activ  and then there wa the ever pleasant and effici reyl who did a remark job of host the breakfast which  by the way  wa excel  cudo to the clean staff who clean our room admir well  anoth thing we found unusu   but veri impress   wa the fact that the manag mr  quick spent a great deal of time talk to the guest  an excel idea! our room wa veri nice and spaciou and excepion clean! perhap there could be improv light  the pool wa veri clean and the ground and park lot were well maintain  the signag identifi the locat of the build could be improv  overal  we would definit stay there again and recommend it to others! bob and ellen of leduc  alberta   canada,"March 3, 2011",positive,positive
4.0,"Indianapolis, Indiana",“Great cheap place”,Localdj77,UR96449859,super clean  great staff  good breakfast  waffl that you get to cook  yogurt  cereal  a real breakfast  close to a lot of fun stuff  quiet at night too  worth the money for sure,"February 13, 2011",positive,positive
4.0,"Waterloo, IA",“Nice hotel”,LHeiple,UR94393179,we stay for 4 night and room and hotel were as describ on the bw websit  staff veri friendli and help  onli complaint is that wall arent veri soundproof  lot of nois come from outsid  bed  room  breakfast and amen were all great!!,"January 25, 2011",positive,positive
4.0,Massachusetts,“What you see is not always what you get - beware of online booking agents!”,msluvs2travel,UR93049962,we went to phoenix for the even to insur our famili made an earli morn flight out  upon our arriv  after book an expens suit  with an onlin websit  we were assign our room  the room did not match anyth advertis onlin  and even after call the hotel prior to reserv our room  didn't come close to what we thought we had book  the first room assign wa veri small and dingi with one king size bed that just fit  and a smaller front room  after about a half hour of go back and forth to the front desk to clarifi what an execut king or queen suit wa about  we final found the suit we thought we book onlin  and were courtious move by the staff  the warn here is buyer bewar  while at the front desk  i did overhear the clerk on the phone with the websit agent inform them that they had charg us the wrong price for the wrong room  i heard my name mention while they were confirm credit card charg  and saw a copi of my confirm on the desk  thi made me question if thi websit is charg more these day and skim profit  book inferior room at their customer' cost  when we move  the room wa nice  new clean and spaciou  noth like the hole in the wall super cheapi room  the custom servic wa great and accomod  no complaint on best western' end  just the onlin provid of the room  beauti pool  beauti hotel  love area  close to the airport  final bottom line  if you book at thi hotel with an onlin websit  bring your confirm print out with you  make sure you have the room you book  i feel we were deceiv by thi onl websit book agent  which make me wonder now whi american airlin ha drop them  best bet is to book directli through thi hotel  after check their price on their websit  it turn out to be even cheaper in the end than the websit agent ,"January 15, 2011",positive,positive
4.0,"Sacramento, California",“Great service from front desk.”,ecthurston,UR91908356,front desk staff made my trip  definit will stay here if i'm ever in phoenix again  wine and beer hour wa nice and breakfast wa great too ,"January 6, 2011",positive,positive
5.0,,"“Wow! Hands down, Stay here!”",siximpossiblethings,UR91353599,thi wa such an awesom hotel! it' been complet renov & the room were so luxurious! the bed were plush & amazing! sparkl clean i check the sign twice becaus for a moment i thought i accident check into the nearbi resort! morn brought a wonder free breakfast with belgium waffl  scrambl egg  hashbrown  biscuit & gravi  variou cereal  toast  fresh fruit  grapefruit and starbuck coffee! what a suprise! the pool wa clean  heat & had a fun fountain  can't say enough  wa a nice chang from he crappier hotel on thi trip that i paid twice as much for!,"January 1, 2011",positive,positive
4.0,"Maastricht, The Netherlands",“Very nice....on weekdays!!”,lelici49,UR85569714,"veri nice hotel with clean  spaciou room  big lcd tv  fridg  microwav  we had our room next to the pool  which wa kept clean aswel  as we check in  we were great in a veri friendli way  and were told there wa a free bbq thi night (everi 1st wednesday of the month) with hamburg  hot dog salad and free drink which wa a real nice bonus! we stay here for 5 day  4 dure weekday  which were great  howev in the weekend the local invad thi hotel and find it necessari to drop their kid in the pool at 7 am!!!!!!! the kid obvious start scream and splash right in front of our door  there' a sign which say the pool is open from 7am!!!! 10pm  but hey  you'r not alon on the planet  on top of that these peopl turn on their tv so loud unbeliev   thi wa veri anno sinc we were on our holiday  and didn't want to wake up at 7am  as were a lot of other peopl we talk to  mayb the hotel should chang the sign by the pool to 8 00 or so  and pay a littl more attent to such ""noisi guests"" in the futur  becaus thi will keep other guest away  for sure  it' a veri nice hotel at a great price  but the next time  i will will onli visit on weekday  and go to a differ hotel in the weekend ","November 1, 2010",positive,positive
4.0,"Florence, Oregon","“Very good hotel for the price..clean, quiet, centrally located. Would reccommend!”",Breeandfree,UR83169085,we were veri glad to find a nice pet friendli hotel  we were abl to bring our pit bull in without pay an addit fee  all togeth the room cost 75 00  the staff wa veri friendli and help  they let us look at two room when we got there and let us pick which one we want  the first room wa right next to someth for the pool that wa realli loud so we end up take the next room which wa nice and quiet  it wa clean and the bed wa comfort  you can order room servic from a nearbi restaur and the food wa veri good but overpr  i will defin stay there again when i go to phoenix  if you have pet that you travel with thi is a great place to go becaus they keep it clean and it is near a realli nice park with hike trail too ,"October 12, 2010",positive,positive
5.0,"Calgary, Canada",“great central location! great staff that where willing to assist with directions and suggestions for the family”,Stuart71,UR80021998,great price  good breakfast in the morn  would be nice if there wa more fresh fruit ,"September 18, 2010",positive,positive
3.0,"Redmond, Washington",“Stayed here on 2 occasions - it's average at best”,redmond_wa_traveler,UR67755306,the locat wa conveni for me  the hotel is okay  it attract a 'noisy' crowd  there wa a fight in the park lot and the polic came   at about 2:00 am  i stay here twice   the first time   the carpet wa veri dirti  the 2nd time it wa fine  the pool is toward the park lot  we were swim at night when one of the guest warn me to stay away from the light   peopl were shock by it earlier  they have a decent self serv breakfast   includ waffl  egg  biscuit and gravi   cereal  etc  dure our first stay   we could here the busi road out front  dure the 2nd stay   we could here our loud neighbor  there are some good restaur nearbi  i'd look for a discount at the nearbi hilton ,"June 17, 2010",negative,positive
